PTK2_Homo sapiens	ACTN1	11369769,16291744
ADRBK1_Homo sapiens	ADRA2A	7876239
ADRBK1_Homo sapiens	ADRA2A	7876239,19651622
PRKCD_Homo sapiens	ADRA2A	11732925
PRKCA_Homo sapiens	ADRA1B	9353340
CDK5_Homo sapiens	PSEN1	12056836
PRKCZ_Homo sapiens	PSEN1	14576165
PRKACA_Homo sapiens	PSEN1	14576165
GSK3B_Homo sapiens	PSEN1	11104755
CDK5_Homo sapiens	APP	8764598,10936190,15178331
GSK3B_Homo sapiens	APP	8764598,10936190,15178331
CDK1_Homo sapiens	APLP2	9109675
PRKCA_Homo sapiens	APLP2	9109675
PRKCE_Homo sapiens	SLC4A3	11739292
LYN_Homo sapiens	CD19	10933394
LYN_Homo sapiens	CD19	10933394,16497976
MAPK1_Homo sapiens	CD19	10706702,16497976
MAPK1_Homo sapiens	CD19	10706702
ABL1_Homo sapiens	CD19	11120811
BTK_Homo sapiens	CD19	10201980
BTK_Homo sapiens	CD19	10933394,16497976
MAPK14_Homo sapiens	SLC9A1	11604491
MAPK14_Homo sapiens	SLC9A1	11604491,18669648,20068231
MAPK1_Homo sapiens	SLC9A1	15253667,18669648,20068231
MAPK1_Homo sapiens	SLC9A1	15253667
MAPK1_Homo sapiens	SLC9A1	15253667,18669648
MAPK1_Homo sapiens	SLC9A1	15253667,18669648,19415658,18088087,20058876
CSNK2A1_Homo sapiens	APEX1	10023679
SRC_Homo sapiens	LRP1	12789267,11854294
PRKACA_Homo sapiens	LRP1	11158305,19651622
MAPK1_Homo sapiens	ARRB1	17322306,19413330,19651622,18767875,20068231
MAPK3_Homo sapiens	ARRB1	17322306,19413330,19651622,18767875,20068231
CSNK2A1_Homo sapiens	ARRB2	11877451
CSNK2A2_Homo sapiens	ARRB2	11877451
EGFR_Homo sapiens	GRB2	11726515
SRC_Homo sapiens	GRB2	9016807
GSK3B_Homo sapiens	ACLY	10653665,20058876
GSK3B_Homo sapiens	ACLY	10653665
PRKACA_Homo sapiens	ACLY	10653665,18669648,19415658,17924679,18088087,18767875,18452278
PRKCA_Homo sapiens	ATP2B1	1827443
PRKACA_Homo sapiens	ATP2B1	2548572,18669648,19651622,20068231
SRC_Homo sapiens	ATP2B4	9182531,12540962
PRKCA_Homo sapiens	ATP2B2	1827443
CAMK2A_Homo sapiens	ATP2A2	7929371
LYN_Homo sapiens	SLC4A1	1998697,2065070,10942405
LYN_Homo sapiens	SLC4A1	10942405,2065070
SYK_Homo sapiens	SLC4A1	1998697,2065070,10942405
SYK_Homo sapiens	SLC4A1	10942405,2065070
PRKCA_Homo sapiens	ADRBK1	11042191
PRKCD_Homo sapiens	ADRBK1	11042191
PRKCG_Homo sapiens	ADRBK1	11042191
PRKACA_Homo sapiens	ADRBK1	11278469
MAPK3_Homo sapiens	ADRBK1	10574913,10727525,18088087,19651622,18767875
INSR_Homo sapiens	ADRB2	8557631
PRKCD_Homo sapiens	ADRB2	1848190
GRK5_Homo sapiens	ADRB2	8662852
SRC_Homo sapiens	CEACAM1	9867848
FYN_Homo sapiens	CD79A	9531288
LYN_Homo sapiens	CD79A	9531288
CSNK2A1_Homo sapiens	MS4A1	7678037
CSNK2A2_Homo sapiens	MS4A1	7678037
ADRBK1_Homo sapiens	BDKRB2	11517230
PRKCD_Homo sapiens	BDKRB2	11517230
GRK6_Homo sapiens	BDKRB2	11517230
GRK5_Homo sapiens	BDKRB2	11517230
CSNK2B_Homo sapiens	BRCA1	10403822
ATR_Homo sapiens	BRCA1	11114888
CDK2_Homo sapiens	BRCA1	10373534
AKT1_Homo sapiens	BRCA1	10542266
CHEK2_Homo sapiens	BRCA1	10724175,12111733
CHEK2_Homo sapiens	BRCA1	10724175
ATM_Homo sapiens	BRCA1	11278964
ATM_Homo sapiens	BRCA1	10550055
ATM_Homo sapiens	BRCA1	10550055,20068231
ATM_Homo sapiens	BRCA1	10550055,19651622,20068231
ATM_Homo sapiens	BRCA1	10550055,10866324,11278964,15159397
ATM_Homo sapiens	BRCA1	10550055,10866324,11278964
ATM_Homo sapiens	BRCA1	11278964,20068231
ATM_Homo sapiens	BRCA1	10550055,15159397
ATR_Homo sapiens	BRCA1	11114888,11278964,15159397
ATR_Homo sapiens	BRCA1	11114888,11278964
CSNK2A1_Homo sapiens	BRCA1	10403822
ATR_Homo sapiens	BRCA1	11114888,15159397
ATR_Homo sapiens	BRCA1	11278964,20068231
EGFR_Homo sapiens	CALM1	12153558,17389395,18707149,19901323
INSR_Homo sapiens	CALM1	12153558,17389395,18707149,19901323
INSR_Homo sapiens	CALM1	8639568
EGFR_Homo sapiens	CALM2	12153558,18669648,17287340,16497976,17016520
INSR_Homo sapiens	CALM2	12153558,18669648,17287340,16497976,17016520
EGFR_Homo sapiens	CALM3	12153558,18578522,20068231
INSR_Homo sapiens	CALM3	12153558,18578522,20068231
PRKACA_Homo sapiens	CACNA1C	8664319
PRKACA_Homo sapiens	CACNA1C	8612821,9247274
CDK1_Homo sapiens	CALD1	12613668
CDK1_Homo sapiens	CALD1	12613668,18669648,19413330,19415658,17924679,19664995,20068231
CDK1_Homo sapiens	CALD1	12613668,18669648,17287340,19651622,20068231
CSNK2A1_Homo sapiens	CASQ2	1985907
CSNK2A2_Homo sapiens	CASQ2	1985907
CDK1_Homo sapiens	CSNK2A1	7592773
CDK1_Homo sapiens	CSNK2A1	7592773,18691976,20068231
CSNK2B_Homo sapiens	CSNK2B	1939094,18691976,19651622,20068231
CDK1_Homo sapiens	CSNK2B	7578274,18669648,18691976,19007248,20230923,20068231
CSNK2A1_Homo sapiens	CTNNB1	12432063
CSNK2A1_Homo sapiens	CTNNB1	12700239
CSNK2B_Homo sapiens	CTNNB1	12432063
FYN_Homo sapiens	CTNNB1	12640114
SRC_Homo sapiens	CTNNB1	11279024
CSNK1A1_Homo sapiens	CTNNB1	12000790,11955436
CSNK1D_Homo sapiens	CTNNB1	12000790,11955436
GSK3B_Homo sapiens	CTNNB1	12000790,12114015,11818547
GSK3B_Homo sapiens	CTNNB1	12051714,12114015,11818547,12000790
CDK1_Homo sapiens	CUX1	11584018
GSK3B_Homo sapiens	CEBPA	10567568
AKT1_Homo sapiens	CDKN1A	11756412
MAPK8_Homo sapiens	CDKN1A	12058028,18669648,19664994,16964243
MAPK8_Homo sapiens	CDKN1A	12058028
CSNK2A1_Homo sapiens	CDK1	1400350,18691976
LYN_Homo sapiens	CDK1	8084605,18669648,19413330,19415658,18691976,19651622,16497976,17016520,19901323,18452278,20068231,20058876
LYN_Homo sapiens	CDK1	10564259,8084605,18669648,19413330,19415658,18691976,19651622,16497976,17016520,19901323,18452278,20068231,20058876
CDK7_Homo sapiens	CDK1	7944411,16565220,18669648,18691976,19664995,19651622,18452278,18767875,17924679,20068231
CDK1_Homo sapiens	CDK1	15592455,19413330,18691976,16497976,17016520,19901323,20068231
CDK1_Homo sapiens	CDC25A	12411508,19413330
CDK1_Homo sapiens	CDC25A	12411508
CHEK1_Homo sapiens	CDC25A	12399544
CHEK1_Homo sapiens	CDC25A	12676583
CHEK2_Homo sapiens	CDC25A	12676583
CSNK2B_Homo sapiens	CDC34	11546811
CSNK2A1_Homo sapiens	CDC25B	12527891
CDK1_Homo sapiens	CDC25B	12107172
CDK7_Homo sapiens	CDK2	14597612,18452278,18767875,20068231
CDK2_Homo sapiens	CDK2	17192257,16497976
AURKB_Homo sapiens	CENPA	11756469
CSNK2A1_Homo sapiens	CLTB	3128543
CSNK2A1_Homo sapiens	CLTB	3128543,2874131
CSNK2A2_Homo sapiens	CLTB	3128543,2874131
CAMK2B_Homo sapiens	COL4A3	7758473
CSNK2B_Homo sapiens	MME	8943850,18578522,20166139
MAPK1_Homo sapiens	GJA1	12637502,8631994,9535909,19664994
MAPK1_Homo sapiens	GJA1	8631994,9535905,12637502
PRKCA_Homo sapiens	GJA1	10871288
PRKCB_Homo sapiens	GJA1	10871288
PRKCG_Homo sapiens	GJA1	10871288,15459208
SRC_Homo sapiens	GJA1	11514593,19901323
SRC_Homo sapiens	GJA1	11514593
CSNK1D_Homo sapiens	GJA1	12270943
CSNK1D_Homo sapiens	GJA1	12270943,18578522
MAPK3_Homo sapiens	GJA1	12637502,8631994,9535909,19664994
MAPK3_Homo sapiens	GJA1	8631994,9535905,12637502
MAPK3_Homo sapiens	GJA1	8631994,9535905
MAPK7_Homo sapiens	GJA1	12637502,8631994,9535909,19664994
MAPK7_Homo sapiens	GJA1	8631994,9535905,12637502
CSNK2A1_Homo sapiens	ATF1	9685505,18669648,18452278
CAMK2G_Homo sapiens	ATF1	8663317,20068231
CAMK1_Homo sapiens	ATF1	8663317,20068231
RPS6KA5_Homo sapiens	ATF1	8663317,20068231
PRKACA_Homo sapiens	ATF1	8663317,20068231
AKT1_Homo sapiens	CREB1	9829964
RPS6KA3_Homo sapiens	CREB1	9687510,11175347,9829964,8688081,11160957
RPS6KA1_Homo sapiens	CREB1	9687510,11175347,9829964,8688081,12235136
GSK3B_Homo sapiens	CREB1	12162494
RPS6KA5_Homo sapiens	CREB1	9687510,11018520,11909979
PRKG1_Homo sapiens	CREB1	9687510,11175347,9829964,8688081
MAPKAPK2_Homo sapiens	CREB1	8887554
SGK1_Homo sapiens	CREB1	15733869
ATM_Homo sapiens	CREB1	16293623,15073328
ATM_Homo sapiens	CREB1	15073328
MAPK14_Homo sapiens	ATF2	7535770,12110590,18669648,19413330,19651622,18767875,20068231
MAPK14_Homo sapiens	ATF2	11259586,10085140,19413330
MAPK9_Homo sapiens	ATF2	7535770,12110590,18669648,19413330,19651622,18767875,20068231
CSNK2A1_Homo sapiens	CREM	8404858
CSNK2A2_Homo sapiens	CREM	8404858
CDK1_Homo sapiens	CREM	8404858
PRKCA_Homo sapiens	CREM	8404858
CSNK1A1_Homo sapiens	CREM	8404858
PRKACA_Homo sapiens	CREM	8404858
CAMK2G_Homo sapiens	CREM	8404858
GSK3B_Homo sapiens	CREM	8404858
GSK3A_Homo sapiens	CREM	8404858
FYN_Homo sapiens	CDK5	12372285,19413330,18691976,16497976,19901323,20068231
ABL1_Homo sapiens	CDK5	12372285,19413330,18691976,16497976,19901323,20068231
CSNK1D_Homo sapiens	CDK5	10500146
PLK1_Homo sapiens	CCNB1	11242082
CDK2_Homo sapiens	CCNE1	14536078,18691976
GSK3B_Homo sapiens	CCNE1	8861947,14536078,18691976
GSK3B_Homo sapiens	CCNE1	14536078,18691976
FYN_Homo sapiens	CTLA4	9973379
JAK2_Homo sapiens	CTLA4	10842319
LCK_Homo sapiens	CTLA4	9973379
CDK5_Homo sapiens	EZR	12769842
EGFR_Homo sapiens	EZR	1382070,12560083
EGFR_Homo sapiens	EZR	1382070
LCK_Homo sapiens	EZR	1382070,12560083
PRKCA_Homo sapiens	EZR	11387207,10970850
ROCK1_Homo sapiens	EZR	11387207,10970850
CSK_Homo sapiens	CSK	9148770
PRKACA_Homo sapiens	CSK	11181701
PRKACA_Homo sapiens	EPB49	7615546
PRKACA_Homo sapiens	DSP	7525582,18669648,20068231
ROCK1_Homo sapiens	DES	10574968
AURKB_Homo sapiens	DES	12686604
CSNK2A1_Homo sapiens	ARNT	16129408,18669648
CSNK2A1_Homo sapiens	DDIT3	12876286
MAPK14_Homo sapiens	DDIT3	8650547
CSNK2A1_Homo sapiens	LIG1	10523317,15302935,18669648,19415658,19664995,19651622,17693683,19664994,18452278,18767875,19413330,20230923,20068231,20058876
CSNK2A1_Homo sapiens	TOP2A	9804834,8939955,11940573,18669648,19651622,18452278,20068231
CSNK2A1_Homo sapiens	TOP2A	7961967,18669648,18691976,17287340,19007248,19664995,19651622,19691289,19664994,18767875,18452278,16964243,20068231,20058876
CSNK2A1_Homo sapiens	TOP2A	10942766,18669648,19651622,19691289,18452278,20068231
CSNK2A1_Homo sapiens	TOP2A	7961967,16565220,18669648,19007248,19651622,18452278,16964243,20068231
CDK1_Homo sapiens	TOP2A	7635160,12569090,16565220,18669648,19415658,18691976,19007248,19664995,19651622,19691289,18452278,16964243,20068230,20068231,20058876
CDK1_Homo sapiens	TOP2A	7635160,12569090,16565220,18669648,19413330,19415658,18691976,17287340,17924679,19007248,19664995,19651622,19691289,19664994,18767875,18452278,20068231,20058876
CDK1_Homo sapiens	TOP2A	7635160,12569090,16565220,18669648,19007248,19651622,19691289,18452278,20068231
CDK1_Homo sapiens	TOP2A	7635160,12569090
CDK1_Homo sapiens	TOP2A	7635160,12569090,16565220,18669648,19007248,19651622,18452278,20068231
PRKCA_Homo sapiens	TOP2A	7499337,12569090,18691976,19007248,19691289
PRKCB_Homo sapiens	TOP2A	7499337,12569090,18691976,19007248,19691289
PRKCG_Homo sapiens	TOP2A	7499337,12569090,18691976,19007248,19691289
SRC_Homo sapiens	DAG1	12795607
CSNK2A1_Homo sapiens	EGR1	8662759
EGFR_Homo sapiens	EPB41	1647028
PRKCB_Homo sapiens	EPB41	15611095,20068231
PRKCB_Homo sapiens	EPB41	15611095
PRKCD_Homo sapiens	EEF1A1	7890750,20068231
CDK1_Homo sapiens	EEF1D	12551973,18669648,19413330,19415658,17287340,17924679,19664995,19651622,19691289,18767875,18691976,18452278,18212344,20068230,20166139,20068231
EGFR_Homo sapiens	EGFR	8845374,16799092
EGFR_Homo sapiens	EGFR	9363897,10635327,16799092,18669648,18691976,17389395,17016520
EGFR_Homo sapiens	EGFR	8845374,11983694,16799092,17016520
EGFR_Homo sapiens	EGFR	8845374,16799092,16729043,17016520,18707149
EGFR_Homo sapiens	EGFR	8845374,16799092,16729043,17389395,19651622,17016520
EGFR_Homo sapiens	EGFR	8845374,16799092,16729043,17426253,18691976,17389395,17016520,20068231
JAK2_Homo sapiens	EGFR	9363897,10635327,16799092,18669648,18691976,17389395,17016520
PRKCD_Homo sapiens	EGFR	2987962,2984676
SRC_Homo sapiens	EGFR	8845374,11983694,16799092,17016520
SRC_Homo sapiens	EGFR	11983694,8845374,10075741,16729043
SRC_Homo sapiens	EGFR	11983694,16729043
CAMK2G_Homo sapiens	EGFR	1309762,10347170,16799092
CAMK2G_Homo sapiens	EGFR	1309762,10347170
CAMK2A_Homo sapiens	EGFR	10347170,18669648,18691976,20068231
CAMK2A_Homo sapiens	EGFR	1309762,10347170
CAMK2A_Homo sapiens	EGFR	10347170,16799092,18669648,18691976,20068231
CAMK2A_Homo sapiens	EGFR	10347170
CAMK2A_Homo sapiens	EGFR	10347170,16799092,18669648,18691976,17389395,20166139,20068231
SRC_Homo sapiens	EGFR	15951569,16729043,18669648,17389395,17016520
JAK2_Homo sapiens	EPOR	12441334
LCK_Homo sapiens	ESR1	7539106
AKT1_Homo sapiens	ESR1	11139588
AKT2_Homo sapiens	ESR1	11507039,11139588,11432835,9528769
MAPK1_Homo sapiens	ESR1	12093745,9528769,10409727
SRC_Homo sapiens	ESR1	7539106
RPS6KA3_Homo sapiens	ESR1	11507039,11139588,11432835,9528769
MAPK14_Homo sapiens	ESR1	12138194
RPS6KA1_Homo sapiens	ESR1	12093745,9528769
RPS6KA1_Homo sapiens	ESR1	11507039,11139588,11432835,9528769
PAK1_Homo sapiens	ESR1	12374744
CDK7_Homo sapiens	ESR1	15461668
PRKCA_Homo sapiens	EIF4E	8662663
PRKCB_Homo sapiens	EIF4E	8662663
PRKCG_Homo sapiens	EIF4E	8662663
PRKCA_Homo sapiens	EWSR1	9341188
AKT1_Homo sapiens	FOXO1	10358014
PAK1_Homo sapiens	FOXO1	10358014,12560069
GSK3B_Homo sapiens	FOXO1	11980723
ADRBK1_Homo sapiens	FPR1	7836371
CSK_Homo sapiens	FYN	1985196,18691976
FYN_Homo sapiens	FYN	1985196,16497976,20068231,20058876
FYN_Homo sapiens	FYN	9425276
PRKCA_Homo sapiens	GABRG2	1321150
AKT1_Homo sapiens	GATA2	15837948
CSK_Homo sapiens	GSN	10210201
CDK1_Homo sapiens	GFAP	7822264,12177195
PRKCA_Homo sapiens	GFAP	2155236,9099667,7822264,2114109
PRKCA_Homo sapiens	GFAP	2155236,7822264,2114109
PRKACA_Homo sapiens	GFAP	2155236,9099667,7822264,2114109
PRKACA_Homo sapiens	GFAP	2155236,7822264,2114109
ROCK1_Homo sapiens	GFAP	2155236,9099667,7822264,2114109
ROCK1_Homo sapiens	GFAP	2155236,7822264,2114109
ROCK1_Homo sapiens	GFAP	9099667
CAMK2A_Homo sapiens	GFAP	7822264,2114109,2155236,9099667
CAMK2A_Homo sapiens	GFAP	7822264,2114109,2155236
CAMK2A_Homo sapiens	GFAP	7822264,2114109
MAPK1_Homo sapiens	NR3C1	12351702,9199329,18669648
PRKDC_Homo sapiens	NR3C1	9038175
MAPK8_Homo sapiens	NR3C1	12351702,9199329,18669648
PRKACA_Homo sapiens	SLC2A2	8626492
PRKAA1_Homo sapiens	GRIK2	8094892,8163463
PRKCA_Homo sapiens	GRIA4	10366608
PRKACA_Homo sapiens	GRIA4	10366608
CAMK2G_Homo sapiens	GRIA4	10366608
PRKCA_Homo sapiens	GRIA1	8663994
PRKACA_Homo sapiens	GRIA1	8663994
CAMK2G_Homo sapiens	GRIA1	7877986
CAMK2G_Homo sapiens	GRIA1	12609872,9407043
FYN_Homo sapiens	GRIN2B	11024032
FYN_Homo sapiens	GRIN2B	11024032,11483655
PRKCA_Homo sapiens	GRIN2B	12147342,8940188,11306676
PRKCA_Homo sapiens	GRIN2B	11306676
PRKCB_Homo sapiens	GRIN2B	12147342,8940188,11306676
PRKCB_Homo sapiens	GRIN2B	11306676
PRKCG_Homo sapiens	GRIN2B	12147342,8940188,11306676
PRKCG_Homo sapiens	GRIN2B	11306676
SRC_Homo sapiens	GRIN2B	11024032,11483655
CAMK2A_Homo sapiens	GRIN2B	12147342,8940188,11306676
CAMK2A_Homo sapiens	GRIN2B	8940188
CAMK2B_Homo sapiens	GRIN2B	12147342,8940188,11306676
CAMK2B_Homo sapiens	GRIN2B	8940188
CDK5_Homo sapiens	GRIN2A	11675505
PRKCA_Homo sapiens	GRIN2A	11104776
SRC_Homo sapiens	GRIN2A	10195142
SRC_Homo sapiens	GRIN2A	10846184
CAMK2A_Homo sapiens	GRIN2A	12147342
CAMK2B_Homo sapiens	GRIN2A	12147342
PRKCA_Homo sapiens	GFPT1	10806197
CSNK2A1_Homo sapiens	GYS1	2117608
CSNK2A1_Homo sapiens	GYS1	2117608,18669648
CSNK2A1_Homo sapiens	GYS1	2117608,19651622
CSNK2A1_Homo sapiens	GYS1	2117608,20068231
PRKACA_Homo sapiens	GYS1	2117608,19413330,18691976
PRKACA_Homo sapiens	GYS1	2117608
GSK3B_Homo sapiens	GYS1	6772446,11427888,18669648
GSK3B_Homo sapiens	GYS1	6772446,11427888,18669648,19664994,18691976
GSK3B_Homo sapiens	GYS1	2117608,19651622
PRKACA_Homo sapiens	GP1BB	2504723,18088087,19651622,20166139,20058876
HCK_Homo sapiens	CSF3R	9790917
AKT1_Homo sapiens	NR4A1	11274386,18669648
MAPK1_Homo sapiens	NR4A1	11883936
RPS6KA1_Homo sapiens	NR4A1	11274386,18669648
RPS6KA3_Homo sapiens	NR4A1	11274386,18669648
RPS6KA5_Homo sapiens	NR4A1	11274386,18669648
EGFR_Homo sapiens	RASA1	1850098
LCK_Homo sapiens	RASA1	1850098
PRKCD_Homo sapiens	GNAZ	8429024,7559455,9166747
PRKCA_Homo sapiens	GNA15	12647293
PRKCA_Homo sapiens	HES1	9389649
CSNK2A1_Homo sapiens	HSP90AA1	2492519,17287340,18088087,19651622,18510355,18452278,18767875,20166139,20068231
PRKDC_Homo sapiens	HSP90AA1	2507541
CSNK2A1_Homo sapiens	HSP90AA1	2492519,18669648,19413330,18691976,17287340,18088087,18212344,19651622,18510355,18452278,18767875,18707149,19415658,20166139,20068231,20187088
CSNK2A1_Homo sapiens	HSF1	12659875
MAPK8_Homo sapiens	HSF1	10747973,18669648,19651622,18767875,20166139,20068231
MAPK3_Homo sapiens	HSF1	8940068,18669648,19413330,18212344,19651622,19664994,20166139,20068231
GSK3A_Homo sapiens	HSF1	12665592,18669648,19413330,18212344,19651622,19664994,20166139,20068231
CAMK2A_Homo sapiens	HSF1	11447121
AKT1_Homo sapiens	HMOX1	15581622
CSNK2A1_Homo sapiens	HMOX2	14527438
CSK_Homo sapiens	HCK	11976726
HCK_Homo sapiens	HCK	9407116,11976726,16497976,19664994,17016520
HCK_Homo sapiens	HCK	10934191
PRKCA_Homo sapiens	SDC2	9244383,19901323
PRKCB_Homo sapiens	SDC2	9244383,19901323
PRKCG_Homo sapiens	SDC2	9244383,19901323
CDK1_Homo sapiens	HIST1H1A	7499230
PRKCA_Homo sapiens	HLA-A	2941417
SRC_Homo sapiens	HLA-A	6304688,6333425
SRC_Homo sapiens	HLA-B	6304688
PRKACA_Homo sapiens	HMGCR	2369897
CSNK2B_Homo sapiens	HOXB6	10327653,19413330,19664994
CSNK2A1_Homo sapiens	HOXB7	11290787
AKT1_Homo sapiens	HTT	12062094,19413330,18088087,19651622,20166139
CSNK1A1_Homo sapiens	YWHAQ	9360956,18669648,19415658,18691976,19664995,20068231
PRKCQ_Homo sapiens	ICAM3	9268366
JAK1_Homo sapiens	IL2RB	8700888
LCK_Homo sapiens	IL2RB	10214954
CSNK2A1_Homo sapiens	IGFBP3	10650937
FYN_Homo sapiens	FCGR2A	8756631
LYN_Homo sapiens	FCGR2A	8756631
SYK_Homo sapiens	FCGR2A	8756631
JAK1_Homo sapiens	IL10RA	10433356
MAPK1_Homo sapiens	TCF3	14592976
MAPK3_Homo sapiens	TCF3	14592976
FYN_Homo sapiens	CD79B	9531288
LYN_Homo sapiens	CD79B	9531288
LCK_Homo sapiens	CD79B	8077654
CDK1_Homo sapiens	ITPR1	14635192
FYN_Homo sapiens	ITPR1	14761954
PRKACA_Homo sapiens	ITPR1	12529267,18669648,19007248,18767875,20166139,20068231
PRKACA_Homo sapiens	ITPR1	8132598,18669648,19651622,20068231
PRKG1_Homo sapiens	ITPR1	8132598,18669648,19651622,20068231
CDK1_Homo sapiens	ITPR1	16237118,14635192
SRC_Homo sapiens	IGF1R	8940173,18691976,17016520
SRC_Homo sapiens	IGF1R	8940173,18691976,17389395,17016520,20068231
SRC_Homo sapiens	IGF1R	8940173
SRC_Homo sapiens	IGF1R	8940173,17016520
PRKCA_Homo sapiens	ITPKA	9374536,9155020
PRKACA_Homo sapiens	ITPKA	9374536,9155020
CSNK2A1_Homo sapiens	IRS1	8349691
CSNK2B_Homo sapiens	IRS1	8349691
JAK1_Homo sapiens	IRS1	11162588
MAPK8_Homo sapiens	IRS1	12351658,11606564,10722755
IKBKB_Homo sapiens	IRS1	12351658
IKBKB_Homo sapiens	IRS1	12351658,18077418,19651622
IKBKB_Homo sapiens	IRS1	12351658,11606564,10722755
IKBKB_Homo sapiens	IRS1	12351658,19651622
MAPK1_Homo sapiens	IRS1	16131083
MAPK1_Homo sapiens	IRS1	16131083,19651622
PRKCQ_Homo sapiens	IRS1	15364919
PRKCG_Homo sapiens	IRS1	15364919
PRKCD_Homo sapiens	IRS1	15364919
PRKCB_Homo sapiens	ITGB7	12682249
PRKCD_Homo sapiens	ITGB7	12682249
CSNK2A1_Homo sapiens	IFI16	11115400
INSR_Homo sapiens	INSR	7806540,16497976
INSR_Homo sapiens	INSR	7806540,16497976,19901323
INSR_Homo sapiens	INSR	11401470,19901323
INSR_Homo sapiens	INSR	8504096
INSR_Homo sapiens	INSR	8496180
PRKCA_Homo sapiens	INSR	7926007
PRKCA_Homo sapiens	INSR	8463287
PAK1_Homo sapiens	CASP1	15561713
JAK2_Homo sapiens	JAK2	9111318,11593427,15143187
JAK2_Homo sapiens	JAK2	11818507,9111318
JAK2_Homo sapiens	JAK2	7889566,17027227
JAK2_Homo sapiens	JAK2	15143188,15143187
JAK2_Homo sapiens	JAK2	15143188,15143187,17389395,18491316
JAK2_Homo sapiens	JAK2	15121872
ABL1_Homo sapiens	JAK2	9111318,11593427,15143187
JAK2_Homo sapiens	JAK2	17027227
MAPK1_Homo sapiens	KRT8	11788583,11781324,9211903,18691976,19007248
MAPK14_Homo sapiens	KRT8	11788583,11781324,9211903,18691976,19007248
MAPK8_Homo sapiens	KRT8	11788583,11781324,9211903,18691976,19007248
MAPK3_Homo sapiens	KRT8	11788583,9054461,18669648
MAPK3_Homo sapiens	KRT8	11788583,11781324,9211903,18691976,19007248
PRKCA_Homo sapiens	KRT18	7523419,1374067,18669648,17924679,19007248,20068231
RPS6KA3_Homo sapiens	KRT18	7523419,1374067,18669648,17924679,19007248,20068231
CDK1_Homo sapiens	KRT18	9524113,15368451,18669648,19415658,19007248,20068231
